frame,Ankle.R_x,Ankle.R_y,Ankle.R_z,Knee.R_x,Knee.R_y,Knee.R_z,Hip.R_x,Hip.R_y,Hip.R_z,Hip.L_x,Hip.L_y,Hip.L_z,Knee.L_x,Knee.L_y,Knee.L_z,Ankle.L_x,Ankle.L_y,Ankle.L_z,Wrist.R_x,Wrist.R_y,Wrist.R_z,Elbow.R_x,Elbow.R_y,Elbow.R_z,Shoulder.R_x,Shoulder.R_y,Shoulder.R_z,Shoulder.L_x,Shoulder.L_y,Shoulder.L_z,Elbow.L_x,Elbow.L_y,Elbow.L_z,Wrist.L_x,Wrist.L_y,Wrist.L_z,Neck_x,Neck_y,Neck_z,Head_x,Head_y,Head_z,Nose_x,Nose_y,Nose_z,Eye.L_x,Eye.L_y,Eye.L_z,Eye.R_x,Eye.R_y,Eye.R_z,Ear.L_x,Ear.L_y,Ear.L_z,Ear.R_x,Ear.R_y,Ear.R_z,hip.Center_x,hip.Center_y,hip.Center_z
11,-0.13418111,-0.5011791,-0.042452045,-0.079724185,-0.12306956,0.1397495,-0.115641385,0.28008330000000004,0.015871342,0.10767035,0.26718017,-0.049625274000000004,0.12578632,-0.13998035,0.028386678999999998,0.07162819,-0.53992873,-0.12422219,-0.22931935,0.58433795,0.28951484,-0.30744484,0.5168562,0.06911309,-0.113607004,0.7109193,0.055872745999999994,0.1778462,0.69527364,-0.006093762,0.34438848,0.48465884,-0.081754774,0.5359156999999999,0.52856696,0.054489404000000005,0.04291338,0.7656474,0.05203747,0.068953305,0.97634494,0.10361851,0.066170275,0.87163794,0.21625999,0.10112278,0.9119199,0.18392122,0.03534415,0.9165890999999999,0.18491954,0.13835806,0.89923394,0.08940884,-0.009696297,0.91195244,0.09189558,-0.003985516726970673,0.273631751537323,-0.01687696576118469
12,-0.122619525,-0.54544735,-0.11288449,-0.0819732,-0.15711753,0.080711536,-0.11459089999999998,0.26899123,0.021581947999999997,0.10966119,0.2622835,-0.047588665,0.105080135,-0.16120112,-0.034484394,0.060225232999999996,-0.5664127,-0.20629066,-0.20685424,0.5830816999999999,0.29251906,-0.32283977,0.5143664000000001,0.08553095,-0.12778758,0.7068823000000001,0.05090513,0.15600419,0.6975726999999999,-0.024059221000000002,0.3199913,0.48326984,-0.098817475,0.49252164,0.5432626,0.058288745999999995,0.023364077999999996,0.76210904,0.040514722,0.04349841,0.9688719000000001,0.10230863,0.032872103,0.8577556000000001,0.20828052,0.06973365,0.90043265,0.18186796,0.0041004876,0.9040636999999999,0.17696229,0.114963494,0.8936950000000001,0.09058012,-0.031350397,0.9042332000000001,0.080601595,-0.0024648532271385197,0.2656373679637909,-0.013003358617424965
13,-0.093294315,-0.5482958,-0.063546516,-0.04615593,-0.15304884,0.11706027,-0.11068263,0.26548022,0.031695325,0.10701559999999999,0.26013875,-0.05880986,0.07865157,-0.16699967,-0.054272957000000004,-0.006403511,-0.5619645000000001,-0.23860577,-0.2681562,0.56004447,0.30996168,-0.33335727,0.5093382000000001,0.07642402,-0.13329002,0.69964707,0.05237112,0.14422894,0.7055038,-0.035148747,0.32921523,0.51885474,-0.12920545,0.51015484,0.5801348000000001,0.020636303,0.012654035,0.7612283000000001,0.03543976,0.018535452,0.9699841,0.08009696,0.015678307,0.8694608,0.19663468,0.049331795,0.91232544,0.16635038,-0.016394326,0.9100089,0.16087556,0.09615172400000001,0.9001781999999999,0.07630852,-0.050184973,0.8977210999999999,0.065234944,-0.0018335133790969849,0.2628094851970673,-0.013557268306612968
14,-0.09340249,-0.50428784,-0.21519582,-0.06656538,-0.14794573,0.0023873926,-0.11243558,0.26980138,0.026488623,0.1071672,0.27192694,-0.039080225,0.07769126,-0.13950719,-0.07583083,0.019992178,-0.50444496,-0.28243592,-0.32071456,0.6444984,0.26717594,-0.36257327,0.5603656,0.049854457000000005,-0.14743394,0.72293365,0.046648398,0.13115957,0.72766167,-0.014328407,0.30258256,0.5471647,-0.1267581,0.46889865,0.6100831,0.019623412,-0.003495467,0.78456146,0.045160472,-0.0035407278000000003,0.99824464,0.07499093,-0.034745857000000005,0.9073087,0.19700874,0.0053445753,0.94813144,0.17168464,-0.057090953,0.9441072,0.15078571,0.072963536,0.9289931,0.09595738,-0.06704442,0.9236143,0.050028107999999995,-0.002634190022945404,0.2708641588687897,-0.006295801140367985
15,-0.056474388,-0.47482109999999994,-0.23271124,-0.049029086,-0.13522834,-0.008497743,-0.11313742,0.27017748,0.028898707000000003,0.10519978,0.27482033,-0.036298115,0.07360232,-0.12593074,-0.07813317,0.018114649,-0.46854967,-0.30096490000000004,-0.26731774,0.71427476,0.2170969,-0.3592187,0.60033745,0.041667968,-0.13308507,0.73738,0.05382168,0.14256227,0.7323581,0.0033207329999999998,0.30959243,0.5481919,-0.10124843,0.38876548,0.6570429,0.07773009,0.009129541,0.79125756,0.057010945,0.009359641,1.0063966999999998,0.07938279,-0.036532782,0.9181348,0.19989015,0.0059097633,0.95890546,0.17855228,-0.053541947,0.95369524,0.15037544,0.08213453,0.9387443999999999,0.111117065,-0.050374842999999996,0.9306363000000001,0.048809223,-0.0039688199758529654,0.2724989056587219,-0.003699704073369503
16,-0.0045362384999999995,-0.4905642,0.047015354,0.034631796,-0.09507439,0.16461967,-0.101843536,0.27616832,0.04560416,0.09439894,0.26944965,-0.074686214,0.057587527,-0.14140972,-0.0616211,-0.07144591,-0.52363586,-0.18915421,-0.27880123,0.6858692,0.26001787,-0.35430834,0.57462084,0.06698839,-0.12964088,0.7237650999999999,0.044946663,0.14931092,0.7207849000000001,-0.044468872,0.32494128,0.52990973,-0.130669,0.4487725,0.6637318,0.008663760999999999,0.017235996,0.7816098000000001,0.024651084,0.017480552,0.99339056,0.036958347999999995,0.010293443000000001,0.91477585,0.16985603,0.04432343,0.95302707,0.13384141,-0.020691961000000002,0.9468173000000001,0.12530904,0.09792042,0.9266360999999999,0.049904685,-0.04828314,0.9169417999999999,0.031097889,-0.003722298890352249,0.2728089690208435,-0.014541028067469597
17,-0.0036469446000000003,-0.43725684,0.15062018,0.05774618,-0.039417400000000005,0.23360762,-0.10268403599999999,0.28129253,0.042047127999999996,0.09253610000000001,0.26130038,-0.07978898,0.06251716,-0.14505102,-0.020448813,-0.075266086,-0.53378105,-0.110232174,-0.3173901,0.7384253000000001,0.28124708,-0.35200736,0.61977804,0.078729495,-0.11100356,0.7289379,0.027342013999999998,0.16671912,0.70936936,-0.062037162,0.35665655,0.52444136,-0.12221419,0.5228437,0.64911634,-0.018825138,0.036416143,0.77551943,0.0026473053999999997,0.043244537,0.98452824,0.005000902,0.04309686,0.91350484,0.14178510000000003,0.075623706,0.9481485999999999,0.10162864,0.010009542,0.9442505999999999,0.098261,0.12148473,0.9154798000000001,0.015524181000000001,-0.026180197000000002,0.91072863,0.008370647,-0.005073968321084976,0.2712964415550232,-0.018870927393436432
18,-0.008968378,-0.4144173,0.18221584,0.06471675,-0.015960362,0.26431259999999995,-0.10561882,0.2795692,0.0372426,0.09421547,0.25624636,-0.079733014,0.076279625,-0.14900410000000003,0.0045401007,-0.054167263,-0.5455663000000001,-0.08298531,-0.2701691,0.73882884,0.2689665,-0.34465343,0.6065271,0.084623486,-0.11450417,0.723073,0.0056593455,0.16343349,0.69807744,-0.08395541,0.34567255,0.49975663,-0.13013752,0.521732,0.61468166,-0.028006209,0.032814767,0.76790434,-0.022343453,0.03967377,0.9765927,-0.020627761,0.038810074,0.90507936,0.11547106,0.07160973,0.93980867,0.075890705,0.006026998,0.93609226,0.07216245,0.1175316,0.90758157,-0.0100506665,-0.029552966,0.90310544,-0.017688772,-0.00570167601108551,0.2679077982902527,-0.021245207637548447
19,-1.719693e-05,-0.36059028,0.24779461,0.07971488,0.04069949,0.30666184,-0.106374316,0.27713197,0.035740398,0.09255846599999999,0.25003347,-0.08479193,0.092640795,-0.15167284,0.02299891,-0.042886503,-0.5564493,-0.02402472,-0.31837615,0.6310600000000001,0.29927638,-0.3593618,0.59683204,0.06146696,-0.12308881,0.7120267,-0.007227216,0.15804765,0.6876263000000001,-0.09087284,0.35160387,0.49488485,-0.11584453,0.5343205,0.58022827,0.010471169,0.025611332,0.7560224,-0.033093274,0.0398531,0.96491826,-0.017593263,0.05447541,0.8807744000000001,0.109479755,0.08314033,0.91694087,0.06863276,0.017853461,0.91770315,0.075447455,0.11184341,0.8909751,-0.025108627999999997,-0.033857107000000004,0.8961218000000001,-0.009710781,-0.006907925009727478,0.263582706451416,-0.02452576532959938
20,-0.031133706,-0.40992504,0.19129373,0.06263626,-0.01723346,0.27077883,-0.10485495,0.27417296,0.037797302000000005,0.093926705,0.25277922,-0.079081684,0.086280495,-0.14872514,0.018247478,-0.036287267000000005,-0.55138284,-0.032534678,-0.34814477,0.66149765,0.2836705,-0.37237513,0.6064986,0.050268377999999996,-0.13518554,0.71161985,-0.015717957,0.1427672,0.70233786,-0.088416256,0.35870440000000003,0.5409075,-0.11246793,0.5170596,0.6416904,0.029420607,0.008045948,0.7602985999999999,-0.035970427,0.007663564,0.9673659,-0.029472888,0.024138842,0.89235777,0.10337451,0.05137827,0.92824197,0.061458665999999995,-0.0139202215,0.9242418,0.06599295,0.085083954,0.89903164,-0.029732056,-0.060514517000000004,0.893716,-0.019380901000000002,-0.005464121699333191,0.26347607374191284,-0.020642191171646118
21,-0.04087366,-0.44199675,0.1689592,0.06862146400000001,-0.04506696,0.24661882,-0.10385001,0.27435207,0.04265734,0.092245035,0.26061599999999996,-0.08340168,0.10542160000000002,-0.14744229999999997,0.007887134,-0.019070275,-0.54694754,-0.092037655,-0.3015387,0.5768072,0.34146285,-0.354429,0.5695434,0.10178132,-0.13890384,0.7138943,0.01766286,0.14037827,0.70602715,-0.07914931,0.33780676,0.51948965,-0.11947013,0.4990476,0.61666936,0.026623946000000002,0.0074271876,0.7674156999999999,-0.013048948999999999,0.014874723999999999,0.9780389000000002,0.005620302,0.02467707,0.89308643,0.1332257,0.05430925,0.93109334,0.094414264,-0.01133672,0.92885184,0.09644389,0.09097271,0.9068511999999999,0.0022362023999999998,-0.0561475,0.905481,0.007603042,-0.005802486091852188,0.26748403906822205,-0.020372169092297557
22,-0.02962517,-0.43863449,0.25189412,0.083303966,-0.025880544,0.27656603,-0.10261053,0.26961297,0.04475871,0.09075104,0.2532139,-0.090968676,0.11708856,-0.16011736,0.0029427290000000003,-0.008199174,-0.56961596,-0.10346955,-0.29129052,0.54300547,0.36831388,-0.3466515,0.5402312,0.12355086,-0.144519,0.6973875,0.019146573,0.1334545,0.68913484,-0.086244255,0.32158354,0.48591647,-0.10372056,0.499813,0.5671461,0.04131296,0.0017383359,0.75124454,-0.01712096,0.018455448,0.95970833,0.022119602000000002,0.040793076,0.8580599,0.13408928,0.066957034,0.8993454,0.096711285,0.0024000164,0.90003204,0.10854049,0.08768995,0.88665545,-0.0014994070000000001,-0.056163736,0.8911294,0.025665775,-0.005929745733737946,0.26141345500946045,-0.023104982450604442
23,-0.016083928,-0.40969279999999997,0.215164,0.10388182,-0.00786869,0.2843297,-0.10204014,0.26666287,0.04738868,0.08853867,0.25244024,-0.09368951,0.1128143,-0.16221882,-0.009289554,-0.014067183,-0.5706179,-0.114758395,-0.30125487,0.5242426,0.33952170000000004,-0.35206354,0.53381157,0.095337495,-0.14594513,0.6957665,0.011317635,0.13265416,0.69160646,-0.08749366,0.33926424,0.50886905,-0.082755744,0.49622489999999997,0.60191965,0.07938317,-0.0012050755,0.7504400999999999,-0.023957537,0.0079880925,0.9592284,0.0043110875,0.03178368,0.86493945,0.12209762,0.057136506,0.9052621,0.08319725,-0.007596734,0.9038289,0.09374495,0.08047842,0.8881210999999999,-0.013613578000000001,-0.06350069,0.8880903,0.010345034,-0.006750736385583878,0.2595515549182892,-0.02315041422843933
24,0.006618972,-0.3366484,0.25043637,0.10940394,0.06102843,0.32219790000000004,-0.10310851,0.26979256,0.04425598,0.08715791,0.24613509,-0.09416363,0.11617636,-0.16254805,-0.010960148999999999,-0.007182622,-0.5750407,-0.08566455,-0.33383358,0.51027876,0.30399922,-0.35359892,0.5518601,0.05990494,-0.13594428,0.6971683000000001,-0.019300394,0.13820411,0.6848514,-0.11542106,0.35645163,0.52058184,-0.12974869,0.4998977,0.62618047,0.033511486,0.007828224,0.74468446,-0.05281257599999999,0.021474708,0.95155066,-0.026576862000000003,0.033619888,0.8579228999999999,0.09362744,0.062886395,0.8975291999999999,0.056892082000000004,-0.0024948688,0.8970693000000001,0.061790787,0.09370223,0.8793806999999999,-0.03752668,-0.050915543,0.88188905,-0.02575621,-0.007975298911333084,0.2579638361930847,-0.024953823536634445
25,0.021715734,-0.32213786,0.2810303,0.093427934,0.08340859,0.33565864,-0.10543468,0.26065385,0.040286447999999996,0.08957154,0.24006811,-0.09156776,0.1303269,-0.1659711,-0.019154185,0.031799192999999996,-0.5828390999999999,-0.10380914,-0.36048952,0.45082740000000004,0.25749916,-0.3588166,0.52712846,0.023966607,-0.13426742,0.6764846999999999,-0.010875646999999999,0.14233966,0.6673272,-0.08861385,0.36220604,0.5088489,-0.07333208599999999,0.4645189,0.63757294,0.10001515,0.009168759,0.72506607,-0.035395324,0.016647499,0.92860234,-0.014271081000000001,0.028368294,0.8390181999999999,0.10783834,0.057379894,0.8784318000000001,0.07154806,-0.007731137,0.87634027,0.07510898,0.08983964,0.8590174,-0.020612389,-0.052700773,0.8583027,-0.012327507,-0.007931567728519441,0.25036096572875977,-0.025640657171607014
26,0.015552753999999998,-0.25898686,0.25408623,0.10839671,0.13197166,0.34029722,-0.10924786,0.2672472,0.036789857,0.08912603,0.24259688,-0.092949554,0.14758629,-0.15525018,0.011334383,0.052642796,-0.5768795999999999,-0.05888049,-0.31650525,0.5031180000000001,0.28348804,-0.34732187,0.54001915,0.040213484,-0.12467845,0.688596,-0.020758513,0.15707347,0.6633768,-0.101593226,0.3523013,0.46893909999999994,-0.094403625,0.5009542,0.5459196999999999,0.08064122,0.023882074,0.73301286,-0.049223956,0.03782891,0.94131047,-0.029413888,0.054046057,0.85072356,0.091714755,0.08211543,0.88927674,0.053089395,0.017087292,0.88937116,0.060863845,0.10862747,0.8687188,-0.04143622,-0.034706224,0.8728341999999999,-0.024058081000000002,-0.01006091758608818,0.2549220323562622,-0.028079848736524585
27,0.037918504,-0.353975,0.21274407,0.121627405,0.042356197000000005,0.30347428,-0.10175596,0.26733470000000004,0.04831136,0.08410432,0.2526409,-0.09571431,0.1367146,-0.15306337,-0.020839846000000002,0.026352597000000002,-0.5632138000000001,-0.114177,-0.27094895,0.5166537,0.30557978,-0.35207403,0.5489509,0.07542460000000001,-0.13755283,0.6979371,-0.0034936164000000003,0.13730238,0.68128765,-0.106948145,0.3342663,0.4908309,-0.1262905,0.47326535,0.57832927,0.04826365,0.008058223,0.7467566999999999,-0.041476376,0.024157023,0.95606714,-0.015650043,0.052396543,0.86125326,0.10035737,0.07643769,0.90090394,0.05999531,0.012582703999999998,0.90114015,0.07448693,0.09307243,0.8832946,-0.037544653,-0.04847726,0.88722646,-0.00521411,-0.008825819939374924,0.2599878013134003,-0.023701474070549008
28,0.010153522,-0.38847333,0.16860254,0.11069717,-0.0011591924,0.276399,-0.10354037599999999,0.26866543,0.04573778,0.08654841,0.25814226,-0.09020658599999999,0.14456889,-0.13773805,0.02460514,0.051538184,-0.55177855,-0.044351898,-0.29136282,0.5639764,0.34013104,-0.35423920000000003,0.578367,0.102117464,-0.14267947,0.70930684,-0.0058894325,0.12594499,0.70023763,-0.11570713,0.34339005,0.54687715,-0.17715162,0.5160085999999999,0.6200123000000001,-0.026284553,-0.0005649440000000001,0.75805897,-0.04563242,0.012597546000000001,0.9669084000000001,-0.025174357,0.039873942999999995,0.8781947,0.09649864,0.06403233,0.9165390999999999,0.05475647,-0.0003633611,0.9157114,0.06706424,0.08449659,0.89474595,-0.042063467,-0.059194088,0.89624494,-0.013875812,-0.008495982736349106,0.2634038329124451,-0.02223440259695053
29,0.02046668,-0.3669664,0.22177049999999998,0.116343364,0.032541484,0.30080727,-0.0999932,0.2698394,0.049554475,0.08370417,0.25075737,-0.09716404,0.12343314,-0.15640418,-0.015807295,0.020838001999999998,-0.5725585,-0.0966007,-0.24673288,0.52788496,0.3362466,-0.33664092,0.56382823,0.10883184,-0.12227648,0.7032484999999999,0.012730967,0.13968731,0.696059,-0.11125812,0.36754346,0.5606165,-0.17776886,0.48876247,0.67701864,-0.0056426246,0.018116325,0.7504221,-0.032914687000000005,0.03656678,0.95614547,-0.0021145218,0.065347016,0.8594347,0.11253273,0.089142434,0.90011954,0.07287312,0.025124634,0.8994290999999999,0.08686955,0.106651254,0.88431895,-0.025233876000000002,-0.035532947999999995,0.8864665999999999,0.00681185,-0.00814451277256012,0.26029837131500244,-0.02380478382110596
30,-0.010045771,-0.43341312,0.19902045,0.09481342,-0.037044756,0.24901605,-0.09548288,0.26761085,0.05229991,0.083651885,0.25050095,-0.09192277,0.12324592,-0.14797083,-0.0006730531,0.01765824,-0.5530144,-0.075522296,-0.28945372,0.5583772,0.31883279999999997,-0.34934953,0.5734509,0.08614941,-0.1261382,0.69806993,0.008470915,0.13628085,0.69645303,-0.09721799,0.37592113,0.59117305,-0.1557828,0.48340259999999996,0.7382236999999999,-0.0076704943000000005,0.012394431000000001,0.7455071,-0.025993664,0.022624747999999997,0.94817203,0.0041538887,0.03891246,0.85509765,0.12393604,0.06635016,0.89571023,0.0876596,0.0013879854000000001,0.89279187,0.09238864,0.09747055,0.87919176,-0.0067471527,-0.04654204,0.87643695,0.005229406,-0.005915496498346329,0.2590559124946594,-0.019811429083347317
31,0.0025740531,-0.40927884,0.20978256,0.11251776,-0.01052272,0.26944572,-0.096477404,0.2700281,0.051997125,0.08279131,0.24934305,-0.09624957,0.11483359,-0.15493065,-0.0013946532,-0.005419068000000001,-0.56356007,-0.07355239,-0.28162685,0.544532,0.34080738,-0.3357567,0.56126916,0.10178842,-0.12080705,0.69970125,0.012105484,0.14389801,0.6969717,-0.10038449,0.38395253,0.57982785,-0.14753896,0.52084726,0.71437746,-0.0027698288,0.018247088,0.74810606,-0.02741913,0.023634037000000004,0.9520728,0.0010927706,0.033694178,0.85955596,0.12198022,0.06270462,0.9009825,0.08741286,-0.0025077946,0.8961904,0.08731954,0.10188101,0.8849094999999999,-0.004770644,-0.043412007,0.87813175,-0.0029819831,-0.0068430453538894645,0.25968557596206665,-0.022126223891973492
